scanned_at,title,url,sku,category,availability,price,price_regular,seller,special_offers
2022-01-05T02:53:57.645689,"Планшет Apple iPad Air 10.9"" (4 Gen) 64GB Wi-Fi+Cellular 2020 Sky Blue (MYH02)",https://allo.ua/ua/products/internet-planshety/apple-ipad-air-10-9-wi-fi-cellular-64gb-sky-blue-myh02rk-a.html,696895,"Інтернет магазин,Планшети,Планшети Apple",False,30999,,Official Apple Dealer,
2022-01-05T02:54:04.160385,Планшет Lenovo Tab E10 2/16 WiFi Black (ZA470000UA),https://allo.ua/ua/products/internet-planshety/lenovo-e10-tab-x104f-10-1-16gb-wi-fi-za470000ua-black.html,448789,"Інтернет магазин,Планшети,Планшети Lenovo",False,3799,,allo,
2022-01-05T02:54:10.636933,"Планшет Lenovo TAB4-X304L 10.1"" LTE 16GB (ZA2K0054UA) Black",https://allo.ua/ua/products/internet-planshety/lenovo-tab4-x304l-10-1-lte-16gb-za2k0054ua-black.html,310324,"Інтернет магазин,Планшети,Планшети Lenovo",False,5499,,allo,
2022-01-05T02:54:17.085670,Планшет Apple iPad mini Retina Wi-Fi 16GB Gray (ME276),https://allo.ua/ua/products/internet-planshety/apple-ipad-mini-retina-wi-fi-16gb-gray-me276.html,101317,"Інтернет магазин,Планшети,Планшети Apple",False,7499,,Official Apple Dealer,
2022-01-05T02:54:23.337190,Планшет Apple iPad Air 2 Wi-Fi + 4G 16GB Space Grey(MGGX2),https://allo.ua/ua/products/internet-planshety/apple-ipad-air-2-wi-fi-4g-16gb-space-grey-mggx2.html,126621,"Інтернет магазин,Планшети,Планшети Apple",False,,,Official Apple Dealer,
2022-01-05T02:54:29.865732,"Планшет Impression ImPAD P701 7"" 3G 16GB Gray",https://allo.ua/ua/products/internet-planshety/impression-impad-p701-7-3g-16gb-gray.html,311599,"Інтернет магазин,Планшети,Планшети Impression",False,2333,,allo,
2022-01-05T02:54:36.362745,Планшет Nomi C101014 Ultra4 10” 3G 16GB Синій,https://allo.ua/ua/products/internet-planshety/nomi-c101014-ultra4-10-3g-16gb-sinij.html,387912,"Інтернет магазин,Планшети,Планшети Nomi",False,,,allo,
2022-01-05T02:54:42.858316,"Планшет Impression ImPAD 6115 M (v2) 7"" 3G 16GB Black",https://allo.ua/ua/products/internet-planshety/impression-impad-6115-m-7-3g-16gb-black.html,186168,"Інтернет магазин,Планшети,Планшети Impression",False,,,allo,
2022-01-05T02:54:49.363188,"Планшет HUAWEI MediaPad T3 7"" 16GB 3G Grey",https://allo.ua/ua/products/internet-planshety/huawei-mediapad-t3-7-16gb-3g-gold.html,326363,"Інтернет магазин,Планшети,Планшети Huawei",False,,,allo,
2022-01-05T02:54:55.833805,Планшет Samsung Galaxy Tab A SM-T595 10.5” LTE 32GB Black,https://allo.ua/ua/products/internet-planshety/samsung-galaxy-tab-a-sm-t595-10-5-lte-32gb-black.html,394657,"Інтернет магазин,Планшети,Планшети Samsung",False,,,allo,
2022-01-05T02:55:02.378538,Планшет Nomi C070044 Corsa4 PRO 7” LTE 16GB Темно-сірий,https://allo.ua/ua/products/internet-planshety/nomi-c070044-corsa4-pro-7-lte-16gb-temno-seryj.html,387909,"Інтернет магазин,Планшети,Планшети Nomi",False,,,allo,
2022-01-05T02:55:08.827857,Планшет Apple iPad Air Wi-Fi 16GB Gray (MD785),https://allo.ua/ua/products/internet-planshety/apple-ipad-air-wi-fi-16gb-gray-md785.html,101333,"Інтернет магазин,Планшети,Планшети Apple",False,,,Official Apple Dealer,
2022-01-05T02:55:15.188719,"Планшет Samsung Galaxy Tab 3 Lite 7"" VE 8GB 3G Black (SM-T116NYKASEK)",https://allo.ua/ua/products/internet-planshety/samsung-galaxy-tab-3-lite-plus-sm-t116-7-3g-8gb-ebony-black.html,135727,"Інтернет магазин,Планшети,Планшети Samsung",False,,,allo,
2022-01-05T02:55:22.508591,"Планшет Sony Xperia Tablet Z4 10"" 4G 32GB (SGP771) Black",https://allo.ua/ua/products/internet-planshety/sony-xperia-tablet-z4-10-4g-32gb-sgp771-black.html,140542,"Інтернет магазин,Планшети,Планшети Sony",False,,,allo,
2022-01-05T02:55:28.987465,Намет High Peak Kiruna 2 Blue/Grey (925396),https://allo.ua/ua/palatki/palatka-high-peak-kiruna-2-blue-grey-925396_1.html,U0431813-0789,"Інтернет магазин,Намети,Намети High Peak",False,2784,,Xprice,
2022-01-05T02:55:35.347736,Намет High Peak Talos 3 Dark Grey/Green (925398),https://allo.ua/ua/palatki/palatka-high-peak-talos-3-dark-grey-green-925398.html,U0431836-0789,"Інтернет магазин,Намети,Намети High Peak",False,,,Xprice,
2022-01-05T02:55:41.797164,Намет High Peak Goshawk 4 Pesto/Red (928134),https://allo.ua/ua/palatki/palatka-high-peak-goshawk-4-pesto-red-928134_2.html,U0431808-0789,"Інтернет магазин,Намети,Намети High Peak",False,8839,,Xprice,
2022-01-05T02:55:48.210911,Намет High Peak Boston 2 Aluminium/Dark Grey (925381),https://allo.ua/ua/palatki/palatka-high-peak-boston-2-aluminium-dark-grey-925381.html,U0441695-0789,"Інтернет магазин,Намети,Намети High Peak",False,4385,,Xprice,
2022-01-05T02:55:54.615124,Намет High Peak Rapido 3 Dark Green/Light Green (928140),https://allo.ua/ua/palatki/palatka-high-peak-rapido-3-dark-green-light-green-928140_2.html,U0431832-0789,"Інтернет магазин,Намети,Намети High Peak",False,4420,,Xprice,
2022-01-05T02:56:01.138335,Намет High Peak Palma 40 Blue/Grey (926283),https://allo.ua/ua/palatki/palatka-high-peak-palma-40-blue-grey-926283_1.html,U0431829-0789,"Інтернет магазин,Намети,Намети High Peak",False,1503,,Xprice,
2022-01-05T02:56:07.589646,Намет High Peak Mallorca 40 Blue/Grey (926281),https://allo.ua/ua/palatki/palatka-high-peak-mallorca-40-blue-grey-926281_1.html,U0431818-0789,"Інтернет магазин,Намети,Намети High Peak",False,1114,,Xprice,
2022-01-05T02:56:17.710690,Samsung Galaxy Note 9 8/512Gb N960U Metallic Copper,https://allo.ua/ua/products/mobile/samsung-galaxy-note-9-8-512gb-n960u-metallic-copper.html,TE211217EK06-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Samsung",True,13999,,Trade Electronics,
2022-01-05T02:56:24.207658,Blackview BL5000 5G 8/128GB Orange,https://allo.ua/ua/products/mobile/blackview-bl5000-5g-8-128gb-orange_2.html,TE211001EK19-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Blackview",True,8499,,Trade Electronics,
2022-01-05T02:56:30.551841,Cubot C20 black,https://allo.ua/ua/products/mobile/cubot-c20-black.html,TE210224EK23-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Cubot",True,3299,,Trade Electronics,
2022-01-05T02:56:36.852510,Oukitel C17 Pro 4/64Gb Orange,https://allo.ua/ua/products/mobile/oukitel-c17-pro-4-64gb-orange.html,TE191017ST4-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Oukitel",True,3099,,Trade Electronics,
2022-01-05T02:56:43.401842,Намет High Peak Ontario 3 Blue (921707),https://allo.ua/ua/palatki/palatka-high-peak-ontario-3-blue-921707_1.html,U0431828-0789,"Інтернет магазин,Намети,Намети High Peak",False,2784,,Xprice,
